Season,Crop
Autumn     ,Paddy
Kharif     ,Arecanut
Kharif     ,Bajra
Kharif     ,Bean
Kharif     ,Cabbage
Kharif     ,Castor seed
Kharif     ,Colocosia
Kharif     ,Cotton(lint)
Kharif     ,Cowpea(Lobia)
Kharif     ,Guar seed
Kharif     ,Horse-gram
Kharif     ,Jobster
Kharif     ,Jowar
Kharif     ,Jute
Kharif     ,Jute & mesta
Kharif     ,Kapas
Kharif     ,Korra
Kharif     ,Lemon
Kharif     ,Masoor
Kharif     ,Mesta
Kharif     ,Moth
Kharif     ,Niger seed
Kharif     ,Perilla
Kharif     ,Pome Granet
Kharif     ,Ragi
Kharif     ,Rajmash Kholar
Kharif     ,Rice
Kharif     ,Ricebean (nagadal)
Kharif     ,Samai
Kharif     ,Sapota
Kharif     ,Sesamum
Kharif     ,Small millets
Kharif     ,Soyabean
Kharif     ,Tobacco
Kharif     ,Total foodgrain
Rabi       ,Arhar/Tur
Rabi       ,Barley
Rabi       ,Blackgram
Rabi       ,Gram
Rabi       ,Groundnut
Rabi       ,Khesari
Rabi       ,Lentil
Rabi       ,Linseed
Rabi       ,Maize
Rabi       ,Moong(Green Gram)
Rabi       ,Peas & beans (Pulses)
Rabi       ,Pineapple
Rabi       ,Rapeseed &Mustard
Rabi       ,Safflower
Rabi       ,Sunflower
Rabi       ,Urad
Rabi       ,Varagu
Rabi       ,Wheat
Whole Year ,Arcanut (Processed)
Whole Year ,Atcanut (Raw)
Whole Year ,Banana
Whole Year ,Beans & Mutter(Vegetable)
Whole Year ,Bhindi
Whole Year ,Bitter Gourd
Whole Year ,Black pepper
Whole Year ,Bottle Gourd
Whole Year ,Brinjal
Whole Year ,Cardamom
Whole Year ,Carrot
Whole Year ,Cashewnut
Whole Year ,Cashewnut Processed
Whole Year ,Cashewnut Raw
Whole Year ,Cauliflower
Whole Year ,Citrus Fruit
Whole Year ,Coffee
Whole Year ,Coriander
Whole Year ,Drum Stick
Whole Year ,Dry chillies
Whole Year ,Dry ginger
Whole Year ,Garlic
Whole Year ,Ginger
Whole Year ,Grapes
Whole Year ,Jack Fruit
Whole Year ,Mango
Whole Year ,Oilseeds total
Whole Year ,Onion
Whole Year ,Orange
Whole Year ,Papaya
Whole Year ,Pome Fruit
Whole Year ,Potato
Whole Year ,Pulses total
Whole Year ,Redish
Whole Year ,Rubber
Whole Year ,Sannhamp
Whole Year ,Sugarcane
Whole Year ,Sweet potato
Whole Year ,Tapioca
Whole Year ,Tea
Whole Year ,Tomato
Whole Year ,Turmeric
Whole Year ,Turnip
